stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
IDAARTw,5532,IDA AVE & ART MUSEUM DR,,39.111553,-84.49889,1,,,,,0
PARCARe,5530,PARKSIDE PL & CARNEY ST,,39.110627,-84.49547,1,,,,,0
PARMARe,5528,PARKSIDE PL & MARTIN DR,,39.110485,-84.493497,1,,,,,0
4THPOSo,1034,4TH ST & POSTAL AL,E 4TH ST & POSTAL ALY,39.100152,-84.511893,1,,,,,0
4THRAC,1032,4TH ST & RACE ST,W 4TH ST & Race ST,39.099829,-84.514122,1,,,,,0
4THPLUw,1028,4TH ST & PLUM ST,W 4TH ST & PLUM ST,39.099345,-84.517319,1,,,,,0
EZZJOHw,4443,EZZARD CHARLES DR & JOHN ST,,39.109111,-84.523154,1,,,,,0
EZZCUTw,4447,EZZARD CHARLES DR & CUTTER ST,EZZARD CHARLES DR & LAUREL PARK DR,39.109217,-84.525139,1,,,,,0
VIN4THi,1030,VINE ST & 4TH ST,VINE ST & W 4TH ST,39.099759,-84.5125,1,,,,,0
HIGRIDo,7604,HIGHLAND AVE & RIDGE RD,,39.169895,-84.426176,1,,,,,0
HIGBIGo,7575,HIGHLAND AVE & BIGGS,,39.168467,-84.427835,1,,,,,0
EUCNODo,8813,EUCLID AVE & NODDING WAY,,39.19181,-84.375865,2,,,,,0
EUCMAPo,8938,EUCLID AVE & MAPLE AVE,,39.191146,-84.364476,2,,,,,0
LESDOUo,7341,LESTER RD & DOUGLAS TER,,39.178702,-84.431444,1,,,,,0
LESGLOo,7338,LESTER RD & GLOSS AVE,,39.177577,-84.431491,1,,,,,0
LESMAPo,7328,LESTER RD & MAPLELEAF AVE,,39.174517,-84.432098,1,,,,,0
LESMONo,7346,LESTER RD & MONTGOMERY RD,,39.18069,-84.431405,1,,,,,0
BLULINo,8333,BLUE ASH AVE & LINDEN AVE,BLUE ASH RD & BLUE ASH AVE,39.208236,-84.390663,2,,,,,0
BLUSPEo,8634,BLUE ASH AVE & SPENCER AVE,,39.21052,-84.38958,2,,,,,0
BLUHARo,8647,BLUE ASH AVE & HARRISON AVE,,39.21358,-84.387972,2,,,,,0
BLUBUXo,8651,BLUE ASH AVE & BUXTON RD,,39.216568,-84.386462,2,,,,,0
BLUBELo,8657,BLUE ASH AVE & BELLEVIEW AVE,,39.222527,-84.383558,2,,,,,0
BLUHUNo,8664,BLUE ASH AVE & HUNT RD,,39.228825,-84.380047,2,,,,,0
COOKENo,8845,COOPER RD & KENWOOD RD,,39.231286,-84.377391,2,,,,,0
COOHUNo,8843,COOPER RD & HUNT RD,COOPER RD & KENWOOD RD,39.230581,-84.375357,2,,,,,0
COO6944o,8949,COOPER RD 6944,,39.228263,-84.362861,2,,,,,0
COOZIGo,8987,COOPER RD & ZIG ZAG RD,,39.22769,-84.359378,2,,,,,0
COO7781o,8983,COOPER RD 7781,,39.226564,-84.356573,2,,,,,0
MONMITo,8995,MONTGOMERY RD & MITCHELL FARM LN,,39.235046,-84.350788,2,,,,,0
MONMARo,9022,MONTGOMERY RD & MARKET PLACE LN,,39.236887,-84.349963,2,,,,,0
MONHOPo,9027,MONTGOMERY RD & HOPEWELL RD,,39.24373,-84.346685,2,,,,,0
MONWELo,9035,MONTGOMERY RD & WELLER RD,,39.258001,-84.341642,2,,,,,0
MO10700o,9115,MONTGOMERY RD 10700,,39.262856,-84.336252,2,,,,,0
4THMAIo,1119,4TH ST & MAIN ST,E 4TH ST & SYCAMORE ST,39.100555,-84.509256,1,,,,,0
REA12THo,1159,READING RD & 12TH ST,READING RD & E 12TH ST,39.110221,-84.504282,1,,,,,0
ELSREAo,1183,ELSINORE PL & READING RD,,39.113083,-84.501859,1,,,,,0
GILELSo,5535,GILBERT AVE & ELSINORE PL,GILBERT AVE & ELSINORE AVE,39.113337,-84.499791,1,,,,,0
GILEDEo,5546,GILBERT AVE & EDEN PARK DR,,39.117137,-84.497218,1,,,,,0
GILMORo,5549,GILBERT AVE & MORRIS ST,,39.118675,-84.495815,1,,,,,0
GILNASo,5555,GILBERT AVE & NASSAU ST,,39.120548,-84.494138,1,,,,,0
GILWINo,5562,GILBERT AVE & WINDSOR ST,,39.122682,-84.492153,1,,,,,0
GILROGo,5563,GILBERT AVE & ROGERS PL,,39.123575,-84.491534,1,,,,,0
GILMCMo,5570,PEEBLES CORNER - GILBERT & MCMILLAN,,39.126244,-84.490062,1,,,,,0
GILTAFo,5839,GILBERT AVE & TAFT RD,,39.127265,-84.489527,1,,,,,0
GILOAKo,5853,GILBERT AVE & OAK ST,,39.129947,-84.488399,1,,,,,0
GILCHAo,5858,GILBERT AVE & CHAPEL ST,,39.131053,-84.488143,1,,,,,0
GILBUEo,5911,GILBERT AVE & BUENA VISTA PL,,39.134218,-84.487097,1,,,,,0
GILBLAo,5913,GILBERT AVE & BLAIR AVE,,39.136292,-84.483918,1,,,,,0
GILVICo,5915,GILBERT AVE & VICTORY PKWY,,39.137746,-84.482061,1,,,,,0
GIL3190o,6156,GILBERT AVE 3190,,39.137258,-84.479717,1,,,,,0
GILDURo,6150,GILBERT AVE & DURRELL AVE,,39.136803,-84.478452,1,,,,,0
GILWOOo,6158,GILBERT AVE & WOODBURN AVE,,39.137358,-84.476061,1,,,,,0
MONBLAo,6168,MONTGOMERY RD & BLAIR AVE,US 22 & BLAIR AVE,39.13991,-84.473541,1,,,,,0
MONJONo,6174,MONTGOMERY RD & JONATHAN AVE,,39.142388,-84.471284,1,,,,,0
MONCLAo,6450,MONTGOMERY RD & CLARION AVE,US 22 & BREWSTER AVE,39.144194,-84.46962,1,,,,,0
